sample_id	lab_id	key_plot	day_num	cases_new_cens_per100k	pcr_target_flowpop_lin	sample_collect_date	pcr_target_flowpop_log10	rec_eff_percent	wwtp_name	wwtp_jurisdiction	CountyFIPS	stormwater_input	influent_equilibrated	sample_type	sample_matrix	sample_location	sample_location_specify	reporting_jurisdiction	capacity_mgd	sewershed_population_served	industrial_input	sewage_travel_time	slopes_flowpop_5m	pvals_flowpop_5m	pdc_flowpop_5m	predsuprexc_flowpop_5m	alert_flowpop_5m	slopes_flowpop_3m	pvals_flowpop_3m	pdc_flowpop_3m	predsuprexc_flowpop_3m	alert_flowpop_3m	trend_flowpop_5m3m_p05	trend_flowpop_5m3m_p05_prev	slopes_mic_5m	pvals_mic_5m	pdc_mic_5m	predsuprexc_mic_5m	alert_mic_5m	slopes_mic_3m	pvals_mic_3m	pdc_mic_3m	predsuprexc_mic_3m	alert_mic_3m	trend_mic_5m3m_p05	trend_mic_5m3m_p05_prev	slopes_flowpop_15d	pvals_flowpop_15d	pdc_flowpop_15d	predsuprexc_flowpop_15d	alert_flowpop_15d	slopes_flowpop_8d	pvals_flowpop_8d	pdc_flowpop_8d	predsuprexc_flowpop_8d	alert_flowpop_8d	trend_flowpop_15d8d_p05	trend_flowpop_15d8d_p05_prev	slopes_mic_15d	pvals_mic_15d	pdc_mic_15d	predsuprexc_mic_15d	alert_mic_15d	slopes_mic_8d	pvals_mic_8d	pdc_mic_8d	predsuprexc_mic_8d	alert_mic_8d	trend_mic_15d8d_p05	trend_mic_15d8d_p05_prev	cases_new_cens	pcr_target_mic_lin_roll7	pcr_target_flowpop_lin_roll7	pcr_target_flowpop_lin_spline	pcr_target_mic_lin_spline	cases_new_cens_per100k_spline	pcr_target_detect	hum_frac_mic_conc	hum_frac_mic_unit	hum_frac_chem_conc	hum_frac_chem_unit	other_norm_conc	other_norm_unit	lod_sewage	pcr_target	pcr_gene_target	inhibition_detect	inhibition_adjust	hum_frac_target_chem	other_norm_name	hum_frac_target_mic	flow_rate	pcr_target_avg_conc	pcr_target_below_lod	solids_separation	concentration_method	extraction_method	rec_eff_target_name	rec_eff_spike_matrix	pasteurized	pcr_type	quant_stan_type	pcr_target_units	quality_flag	collection_storage_temp	collection_storage_time	pre_conc_storage_temp	pre_conc_storage_time	pre_ext_storage_temp	pre_ext_storage_time	sample_collect_time	time_zone	collection_water_temp	tot_conc_vol	ext_blank	num_no_target_control	tss	ph	composite_freq	pcr_target_avg_conc_log10	pcr_target_avg_conc_lin	pcr_target_mic_lin	pcr_target_mic_log10	sample_first_reported	rec_eff_spike_conc	conductivity	equiv_sewage_amt	hum_frac_mic_conc_lin	ntc_amplify	ptc_flowpop_3m	ptc_flowpop_5m	ptc_flowpop_8d	ptc_flowpop_15d	ptc_mic_3m	ptc_mic_5m	ptc_mic_8d	ptc_mic_15d	perc_flowpop	quin_flowpop	perc_mic	quin_mic	major_lab_method	COUNTY_POPESTIMATE2020	vax_date	cases_date	hosp_date	deaths_date	actuals.vaccinationsInitiated	actuals.vaccinationsCompleted	actuals.vaccinationsAdditionalDose	metrics.vaccinationsInitiatedRatio	metrics.vaccinationsCompletedRatio	metrics.vaccinationsAdditionalDoseRatio	actuals.newCases	metrics.caseDensity100k	metrics.infectionRate	metrics.testPositivityRatio	actuals.icuBeds.currentUsageCovid	actuals.hospitalBeds.currentUsageCovid	actuals.newDeaths
XXXX	XXXX	oh_129_wwtp	698.0	50.0		2022-01-28			XXXX	oh	39063	yes			raw wastewater	XXXX	XXXX	oh	15.0	42000	4.88672425656281		0.027278439124433982	0.3541095822429699	6.482549075388189	9.103873226578125	no	0.03573022669119724	0.4798504259283915	8.575097165510659	8.3721851316101	no	plateau		0.012804800435652172	0.06685015951286008	2.992310344173288	0.9879684792197698	no	0.017593242188126575	0.02920559951785978	4.134165767122955	0.9272944185234133	no	increase		0.03573022669119724	0.4798504259283915	8.575097165510659	9.777775535142416	no	-0.08044577172330696	0.4798504259283915	-16.908953595614673	9.43352506262763	no	plateau		0.017593242188126575	0.02920559951785978	4.134165767122955	0.9134134190314752	no	0.02039111089189432	0.02920559951785978	4.807198128167722	0.8716573276137751	no	sustained increase		21.0	0.05731772301045466	76141832.42802358	58588135.916363455	0.036846742291153076	55.93077239787191									sars-cov-2																																													77.87363766365428	173.18385296401578	-72.65489483535943	216.39030975700965	32.78612436589356	60.27906746970917	38.91136415341201	76.32154824114552						75407	2022-01-18	2022-02-04	2022-02-11	2022-02-18	40197	37295	17800	0.53	0.492	0.235	13	49.6	0.55	0.159			
XXXX	XXXX	mo_383_wwtp	376.0			2021-03-12			XXXX	mo	29201				raw wastewater	XXXX	XXXX	mo	5.0	17000			-0.025861012509952458	0.5106995306199615	-5.78089218181681	8.845309809490946	no	0.08423433404624606	0.03756071792947831	21.404374030457518	17.860463150248087	no	increase														0.07561630653929145	0.03756071792947831	19.01900261610607	7.757345528045023	no	0.07561630653929145		19.01900261610607		no	sustained increase																16394316.672917366	24139263.540807325											sars-cov-2																																													1411.0564070147875	-81.12479619063552		1044.5329274415888										38288	2021-03-02	2021-03-19	2021-03-26	2021-04-02	7046	4657		0.184	0.122		7	7.8	0.89	0.038			0
XXXX	XXXX	mo_348_wwtp	387.0			2021-03-23			XXXX	mo	29047				raw wastewater	XXXX	XXXX	mo	20.0	76759																																																																	sars-cov-2																																																										253463	2021-03-13	2021-03-30	2021-04-06	2021-04-13	45780	22070		0.183	0.088		9	2.6	0.81	0.028			0
XXXX	XXXX	ut_209_wwtp	629.0	72.28335073488073		2021-11-20			XXXX	ut	49003				raw wastewater	XXXX	XXXX	ut	2.0	12451			0.019751734981358647	0.5851000024868354	4.653012668312306	10.188616450094298	no	-0.05406960350526093	0.11159311060345666	-11.706161768458168	10.699105861509626	no	plateau														-0.05406960350526093	0.11159311060345666	-11.706161768458168	8.788250123916916	no	-0.09829992594002737	0.35260287265847196	-20.255622159972997	13.223467058781512	no	plateau														9.0		253805278.34712124	354136466.52460665		55.76981859855781									sars-cov-2																																													-67.38829024389037	107.02736745410495	-79.493076164272	-82.50050359297963										57007	2021-11-10	2021-11-27	2021-12-04	2021-12-11	28795	24476		0.514	0.437		0	48.8	0.9	0.146			0
XXXX	XXXX	mo_348_wwtp	491.0		33188118.202084675	2021-07-05	7.520982628195895	15.461887255	XXXX	mo	29047			24-hr time-weighted composite	raw wastewater	XXXX	XXXX	mo	20.0	76759			0.011968763929664188	0.11401387367998306	2.794236203936573	7.807720718272588	no	0.022758468562373905	0.1850789986386929	5.380066564146069	8.24847666620436	no	plateau	plateau													0.022758468562373905	0.1850789986386929	5.380066564146069	8.040247516280797	no	0.03455252582401059		8.281066793853542		no																	33188118.20208472	31356485.74436528			Yes							1750.0	sars-cov-2	n2 and n1	No	No				12.9	52168.75209799998	No		peg precipitation	qiagen allprep powerviral dna/rna kit	puro	raw sample		qpcr	rna	copies/l wastewater													3				4.71741044831075	52168.75209799998			2021-07-30 21:33:57	5.8510751877				no	108.26608819557086	116.33430365981772	74.52903233243444	108.26608819557086					0.34146341463414637	2				253463	2021-06-25	2021-07-12	2021-07-19	2021-07-26	102838	92344		0.411	0.369		41	8.6	1.2	0.08			0
XXXX	XXXX	co_310_wwtp	529.0	11.112963271656387	24593041.645152215	2021-08-12	7.390812245209395	0.18090018090018092	XXXX	co	08069			24-hr flow-weighted composite	raw wastewater	XXXX	XXXX	co	2.166	17997			0.06318955977896962	0.17523501865246366	15.66169693409143	9.067368732204129	no	0.055046225052932614	0.5391630381531041	13.51316293816307	12.142968517131386	no	plateau	plateau	0.008831294577780384	0.15367130530183776	2.0542968014996665	0.9259044573673937	no	0.01097826019842015	0.26149273477034307	2.5600585715838786	1.367266592462807	no	plateau	plateau	0.06318955977896962	0.17523501865246366	15.66169693409143	9.800942357848445	no	0.055046225052932614	0.5391630381531041	13.51316293816307	11.361115350413204	no	plateau	plateau	0.008831294577780384	0.15367130530183776	2.0542968014996665	1.0374681726414536	no	0.01097826019842015	0.26149273477034307	2.5600585715838786	1.2608133009184033	no	plateau	plateau	suppressed	0.014657397649430276	33195581.951250553	23787071.66899217	0.012183233112695936	27.90621032506446	Yes	3694337.9790940764				44997386.75958189	copies/l wastewater	4000.0	sars-cov-2	n1	No			f+ rna coliphage	pepper mild mottle virus	1.908	61280.487804877994	No		innovaprep ultrafiltration	qiagen qiaamp buffers with epoch columns	bcov vaccine	raw sample		ddpcr	rna	copies/l wastewater	no	0.0		0.0				07:00			40.0	no	1				4.787322213708809	61280.487804877994	0.01658767772511847	0.7289372693767655	2021-08-19 22:00:05	2.76			3694337.9790940764	no	142.84187384644164	666.7500922496081	142.84187384644164	666.7500922496081	19.35697993083927	32.9346278472846	19.35697993083927	32.9346278472846	0.5328467153284672	3	0.35714285714285715	2		360428	2021-08-02	2021-08-19	2021-08-26	2021-09-02	71133	52833		0.199	0.148		117	26.7	1.14	0.1	27	58	1
XXXX	XXXX	ut_199_wwtp	698.0			2022-01-28			XXXX	ut	49013				raw wastewater	XXXX	XXXX	ut	1.5	6790			0.013255937871075749	0.5534205908573145	3.0993525238026454	9.96178434985749	no	0.015340043548172493	0.5549706865502737	3.595297885317561	10.897641889168533	no	plateau														-0.01732888751172194	0.5512766570986833	-3.9115666735405785	9.935265664892894	no	0.07855116924292398	0.5549706865502737	19.826029574183135	10.041929443279605	no	plateau																1540665604.9484558	1611241826.4030006											sars-cov-2																																													28.05021288866303	53.314464416027405	254.69754674742143	-42.800059789694366										19894	2022-01-18	2022-02-04	2022-02-11	2022-02-18	10201	8377	2394	0.512	0.42	0.12	25	104.6	0.64	0.231			
XXXX	XXXX	oh_164_wwtp	336.0	0.0	113900106.01597425	2021-01-31	8.056524128312034	68.1	XXXX	oh	39137	no		24-hr time-weighted composite	raw wastewater	XXXX	XXXX	oh	3.0	5739	3.92460989110569		0.05443317349280972	0.09054657056956167	13.353040414615869	9.227564530185905	no	0.07264161755284937	0.6129372860311422	18.20657053342294	13.830486698701602	no	plateau	plateau					no					no			0.06019164984781602	0.32073855075777624	14.86604021138207	13.830486698701602	no	0.07264161755284937	0.6129372860311422	18.20657053342294	12.320485986454727	no	plateau	plateau					no					no			0.0	0.005517511517363352	173781545.5674268	79003052.6195705	0.0038854720113639042	22.590291657149653	Yes	84250608.00000006	copies/l wastewater					780.030029296875	sars-cov-2	n1	No	No			pepper mild mottle virus	0.699000000953674	247042.34374999985	No	none	membrane filtration with sample acidification	qiagen allprep powerviral dna/rna kit	oc43	raw sample	no	qpcr	rna	copies/l wastewater	no	4.0		4.0	3.0	-20.0	24.0	06:00	utc-05:00	14.0	75.0	yes	1	146.0	7.11999988555908		5.392771398931158	247042.34374999985	0.00293223217748173	0.6804266857699168	2021-02-05 19:53:53	6.0			84250608.00000006	no	222.4714889416428	854.5465731980594	222.4714889416428	596.1183752538461					0.9104477611940298	5	0.9512195121951219	5	6	33654	2021-01-21	2021-02-07	2021-02-14	2021-02-21	1285	71		0.038	0.002		5	19.0	0.65	0.083			0
XXXX	XXXX	wi_216_wwtp	549.0	38.46153846153846		2021-09-01			XXXX	wi	55101				raw wastewater	XXXX	XXXX	wi	3.55	13000			-0.018075958331520887	0.20734160341054123	-4.07671534819114	7.309947773054237	no	-0.009330564218554788	0.22064199648695207	-2.1255271926508224	7.677406640155105	no			-0.0018750735637431833	0.30351071752769493	-0.43082093613547867	0.6195311339573708	no	-0.0009719766910508511	0.03935676061011702	-0.22355564527463123	0.663536566456402	no			-0.0034938255261260202	0.22064199648695207	-0.8012557526219655	6.501978072196389	no	-0.0034938255261260202		-0.8012557526219655		no			-0.0010761867086670352	0.03935676061011702	-0.2474943736710533	0.4764281198085885	no	-0.0010761867086670352		-0.2474943736710533		no	sustained decrease		5.0					38.82922002191565									sars-cov-2																																																										195802	2021-08-22	2021-09-08	2021-09-15	2021-09-22	103390	94630		0.527	0.482		133	33.0	1.04	0.12			4
XXXX	XXXX	wi_250_wwtp	536.0	16.666666666666668		2021-08-19			XXXX	wi	55089				raw wastewater	XXXX	XXXX	wi	3.1	12000			-0.023064400206587215	0.2637592106858732	-5.17221643588488	7.5072052679304315	no	-0.05754007412299335	0.32746658812713314	-12.408910996595168	13.113243339653813	no			-0.002708403868703481	0.16057813302735835	-0.621692482637537	0.6668978284633356	no	-0.004344963070239588	0.36770573672063234	-0.9954767194920278	1.0088464942159603	no			-0.001218132567722362	0.32746658812713314	-0.2800923964200619	8.510777938956064	no	-0.001218132567722362		-0.2800923964200619		no	sustained increase		0.0005597635102953573	0.36770573672063234	0.12897341070119417	0.690992787644184	no	0.0005597635102953573		0.12897341070119417		no			suppressed					21.01931451181149									sars-cov-2																																																										90043	2021-08-09	2021-08-26	2021-09-02	2021-09-09	56339	53015		0.631	0.594		47	29.8	1.01	0.081	15	28	0
